function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","0,2",2,2.02,-1.7366097841844419,-1.7366097841844419,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","1,1",2,2.11,-0.57606961161857628,-0.57606961161857628,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","2,0",2,2.20,2.9887855190707993,2.9887855190707993,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","0,3",3,3.03,9.3300989125956466,9.3300989125956448,1.7763568394002505E-15,3.1554436208840472E-30
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","1,2",3,3.12,-2.4813478002038667,-2.4813478002038667,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","3,0",3,3.30,9.8024416837496133,9.8024416837496133,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","0,4",4,4.04,-37.220217003057996,-37.220217003058004,7.1054273576010019E-15,5.0487097934144756E-29
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","0,1",1,1.01,0.65187392818852963,0.65187392818852974,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","1,0",1,1.10,-0.26932545164257993,-0.26932545164258004,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","0,2",2,2.02,5.4598429062121312,5.4598429062121303,8.8817841970012523E-16,7.8886090522101181E-31
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","1,1",2,2.11,-0.80503108504454968,-0.80503108504454968,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","2,0",2,2.20,1.8674185466024631,1.8674185466024631,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","0,3",3,3.03,20.400212578886677,20.400212578886677,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","1,2",3,3.12,3.7360811701635717,3.7360811701635717,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","3,0",3,3.30,17.714006647939048,17.714006647939051,3.5527136788005009E-15,1.2621774483536189E-29
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","0,4",4,4.04,56.041217552453574,56.041217552453567,7.1054273576010019E-15,5.0487097934144756E-29
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,5,"0.49205574022052911;0.62268019502726191","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","0,1",1,1.01,-0.21664698583998943,-0.21664698583998943,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","1,0",1,1.10,1.0855856784369786,1.0855856784369786,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","0,2",2,2.02,-1.3891194621719953,-1.3891194621719953,0,0
