function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,1,0",1,1.010,0.39185090001108763,0.39185090001108752,1.1102230246251565E-16,1.2325951644078309E-32
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","1,0,0",1,1.100,1.9876241031262163,1.9876241031262158,4.4408920985006262E-16,1.9721522630525295E-31
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,0,2",2,2.002,3.8805471101107889,3.8805471101107889,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,1,1",2,2.011,0.11862558295232994,0.11862558295232994,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,2,0",2,2.020,-2.0831520567547495,-2.0831520567547495,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","1,0,1",2,2.101,0.224399131500649,0.224399131500649,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","1,1,0",2,2.110,2.0080160416101798,2.0080160416101798,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","2,0,0",2,2.200,7.7955050354607831,7.795505035460784,8.8817841970012523E-16,7.8886090522101181E-31
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,0,3",3,3.003,15.623640425660621,15.62364042566062,1.7763568394002505E-15,3.1554436208840472E-30
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,1,2",3,3.012,0.16437958111663842,0.16437958111663842,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,2,1",3,3.021,-5.7732515022364987,-5.7732515022364987,0,0
poly_3d,polynomial,3,0,"0.70408996286494829;0.15547504307665727;0.72165643777956234","0,3,0",3,3.030,0,0,0,0
